# 1
d	-21.890	-30.055	-7.270	+42941.000
# 1088
a	-15.300	-6.650	-50.855	+31022.000
b	+9.900	+3.150	+29.015	+84127.000
# 1118
a	-9.750	+33.600	-20.175	+63917.000
d	+1.190	-22.775	+1.670	+63329.000
# 1201
b	+2.950	+5.350	+21.735	+8879.000
c	+15.050	+30.575	+20.050	+18787.000
# 1115
c	-3.650	+36.815	+3.100	+65797.000
d	+3.475	-42.535	-0.625	+77356.000
# 1121
a	-11.850	+0.300	-34.215	+36369.000
b	+7.567	+0.750	+25.895	+93003.000
# 1228
a	-15.117	+12.417	-35.775	+27393.000
b	+15.950	-14.150	+31.095	+17752.000
# 1216
b	+15.450	-1.800	+35.255	+67778.000
d	-4.350	-24.855	+12.750	+2832.000
# 1247
c	+4.450	+37.335	+33.350	+17513.000
d	-2.125	-26.415	-24.425	+75371.000
# 1231
c	+8.800	+34.735	+36.850	+47836.000
d	-9.900	-33.695	-34.750	+55727.000
# 1207
a	-16.764	+25.821	-21.735	+80571.000
b	+21.990	-33.670	+25.895	+21538.000
# 1316
c	-16.450	+32.135	+38.450	+30880.000
d	+21.750	-35.775	-36.450	+2571.000
# 1309
a	-5.717	+15.817	-23.815	+33113.000
b	+7.690	-20.270	+27.455	+18943.000
# 1352
a	+21.150	+13.750	-28.495	+17831.000
b	-15.950	-45.950	+21.215	+4173.000
# 1299
a	-8.050	+1.300	-35.255	+15498.000
b	+7.800	-0.700	+34.735	+32988.000
# 1338
b	-18.450	-44.450	+27.455	+19418.000
c	-1.150	+20.695	-8.800	+11352.000
# 1355
c	-2.050	+32.135	+0.050	+10037.000
d	-2.550	-47.735	-9.050	+14361.000
# 1330
c	-20.583	+20.175	+3.567	+92598.000
d	+21.750	-23.295	-4.350	+6904.000
# 1339
b	-11.750	-35.950	+47.215	+15544.000
c	+14.450	+31.615	-8.100	+59736.000
# 1358
c	+2.200	+33.175	-6.600	+52448.000
d	-2.450	-26.935	-2.250	+2764.000
# 1413
a	+16.900	-2.550	-23.295	+19855.000
b	-15.850	+4.450	+24.335	+11416.000
# 1404
b	+5.950	-2.050	+32.655	+14612.000
c	-1.650	+27.975	+42.650	+8442.000
# 1418
a	-13.700	-1.150	-20.175	+49897.000
b	+20.550	+3.750	+35.255	+17376.000
# 1429
c	-21.000	+25.895	+45.250	+29903.000
